"gam","ee_L_a_Horowitz and Manski","ee_L_a_Lee","ee_L_a_Chen and Flores","ee_U_a_Horowitz and Manski","ee_U_a_Lee","ee_U_a_Chen and Flores","ee_L_b_Horowitz and Manski","ee_L_b_Lee","ee_L_b_Chen and Flores","ee_U_b_Horowitz and Manski","ee_U_b_Lee","ee_U_b_Chen and Flores"
1.1,-8.23045610470186,-8.20153335950196,-8.20153335950196,-7.61773898412031,-8.20153335950196,-8.20153335950196,-8.93008812385799,-8.21780093161311,-8.17087950370349,-8.25280879307133,-8.11010202598616,-8.11010202598616
1.11,-7.3705872853854,-7.31025582547861,-7.31025582547861,-6.76882701498904,-7.31025582547861,-7.31025582547861,-7.9961855184524,-7.32603573730236,-7.28022432420014,-7.33101756486035,-7.22035612761897,-7.22035612761897
1.12,-6.65581047584028,-6.57024817417025,-6.57024817417025,-6.06479393485597,-6.57024817417025,-6.57024817417025,-7.21990699218802,-6.58555463188562,-6.54082587856126,-6.56661483840949,-6.48185071707134,-6.48185071707134
1.13,-6.05261113610691,-5.94654930839929,-5.94654930839929,-5.47212963483167,-5.94654930839929,-5.94654930839929,-6.56484194431652,-5.96139612483539,-5.91772337852311,-5.92319491094396,-5.8596253069127,-5.8596253069127
1.14,-5.53705092240394,-5.41418807123402,-5.41418807123402,-4.96690010532498,-5.41418807123402,-5.41418807123402,-6.00498351028829,-5.4285886767445,-5.38594596792847,-5.37475570879941,-5.32870933587907,-5.32870933587907
1.15,-5.0915756092047,-4.95485324399245,-4.95485324399245,-4.53155536031797,-4.95485324399245,-4.95485324399245,-5.52126063473995,-4.96882069702962,-4.92718272098335,-4.90223086283968,-4.87079216725178,-4.87079216725178
1.16,-4.70302004080351,-4.55481229546753,-4.55481229546753,-4.15293439107964,-4.55481229546753,-4.55481229546753,-5.09937061745177,-4.56835929286455,-4.52770139172589,-4.49132225678784,-4.47214183844572,-4.47214183844572
1.17,-4.36131721787013,-4.20356469068397,-4.20356469068397,-3.82097425481752,-4.20356469068397,-4.20356469068397,-4.72837664339656,-4.21670357765317,-4.17700172301782,-4.13109755959325,-4.12225837011753,-4.12225837011753
1.18,-4.05863768871353,-3.89294409713647,-3.89294409713647,-3.52784946798985,-3.89294409713647,-3.89294409713647,-4.39977280305865,-3.90568687699184,-3.86691765300893,-3.8130552480147,-3.81297597274432,-3.81297597274432
1.19,-3.78880071193598,-3.61650410521811,-3.61650410521811,-3.26738317096025,-3.61650410521811,-3.61650410521811,-4.1068443697586,-3.62886244882943,-3.59100303578326,-3.53048488615664,-3.53784876738166,-3.53784876738166
1.2,-3.54686207048609,-3.36908823286352,-3.36908823286352,-3.03463494400483,-3.36908823286352,-3.36908823286352,-3.84421999402482,-3.3810734878499,-3.34410164621252,-3.27801932200063,-3.29172079062634,-3.29172079062634
1.21,-3.32881965330667,-3.14652278632781,-3.14652278632781,-2.82560639086859,-3.14652278632781,-3.14652278632781,-3.60755184265711,-3.15814598599757,-3.12204004093751,-3.05131482857866,-3.0704188557048,-3.0704188557048
1.22,-3.13139933306593,-2.94539348650517,-2.94539348650517,-2.63702701836083,-2.94539348650517,-2.94539348650517,-3.39328297280176,-2.95666535854938,-2.92140418488216,-2.84681848010875,-2.87052917909186,-2.87052917909186
1.23,-2.95189670202982,-2.76288036692057,-2.76288036692057,-2.46619597404827,-2.76288036692057,-2.76288036692057,-3.19847539124672,-2.7738113418669,-2.73937434943367,-2.66159621330288,-2.68923227879335,-2.68923227879335
1.24,-2.78805837411397,-2.5966339474835,-2.5966339474835,-2.31086335008556,-2.5966339474835,-2.5966339474835,-3.02068109907625,-2.60723416691721,-2.57360128637813,-2.49320387398756,-2.52417914838192,-2.52417914838192
1.25,-2.63799177458172,-2.44468112678458,-2.44468112678458,-2.16913997465049,-2.44468112678458,-2.44468112678458,-2.85784408577971,-2.45496045134303,-2.42211212037261,-2.33958921313284,-2.37339714956732,-2.37339714956732
1.26,-2.50009574763417,-2.30535279178328,-2.30535279178328,-2.03942802123098,-2.30535279178328,-2.30535279178328,-2.70822494026492,-2.31532080893022,-2.28323795880231,-2.19901649974145,-2.23521762214944,-2.23521762214944
1.27,-2.37300658465803,-2.17722751444672,-2.17722751444672,-1.92036703853039,-2.17722751444672,-2.17722751444672,-2.57034221513029,-2.18689354603263,-2.15555758858294,-2.07000788695299,-2.10821958091473,-2.10821958091473
1.28,-2.25555561796403,-2.05908731359711,-2.05908731359711,-1.81079154582511,-2.05908731359711,-2.05908731359711,-2.4429263558771,-2.06846042321129,-2.03785323816607,-1.95129734304605,-1.99118547773346,-1.99118547773346
1.29,-2.14673558834323,-1.94988256967118,-1.94988256967118,-1.70969740210235,-1.94988256967118,-1.94988256967118,-2.32488316214209,-1.95897156979166,-1.9290754924512,-1.8417941144189,-1.8830661165617,-1.8830661165617
